Review,Liked,Kitchen
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,SHAAA KITCHEN
Left very frustrated.,0,SHAAA KITCHEN
I'll definitely be in soon again.,1,SHAAA KITCHEN
Food was really good and I got full petty fast.,1,SHAAA KITCHEN
Service was fantastic.,1,SHAAA KITCHEN
TOTAL WASTE OF TIME.,0,SHAAA KITCHEN
I don't know what kind it is but they have the best iced tea.,1,SHAAA KITCHEN
"Come hungry, leave happy and stuffed!",1,SHAAA KITCHEN
"For service, I give them no stars.",0,SHAAA KITCHEN
I can assure you that you won't be disappointed.,1,SHAAA KITCHEN
I can take a little bad service but the food sucks.,0,SHAAA KITCHEN
Gave up trying to eat any of the crust (teeth still sore).,0,SHAAA KITCHEN
But now I was completely grossed out.,0,SHAAA KITCHEN
I really enjoyed eating here.,1,SHAAA KITCHEN
First time going but I think I will quickly become a regular.,1,SHAAA KITCHEN
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,SHAAA KITCHEN
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,SHAAA KITCHEN
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,SHAAA KITCHEN
"Furthermore, you can't even find hours of operation on the website!",0,SHAAA KITCHEN
We've tried to like this place but after 10+ times I think we're done with them.,0,SHAAA KITCHEN
What a mistake that was!,0,SHAAA KITCHEN
No complaints!,1,SHAAA KITCHEN
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,SHAAA KITCHEN
Waiter was a jerk.,0,SHAAA KITCHEN
"Strike 2, who wants to be rushed.",0,SHAAA KITCHEN
These are the nicest restaurant owners I've ever come across.,1,SHAAA KITCHEN
I never come again.,0,SHAAA KITCHEN
We loved the biscuits!!!,1,SHAAA KITCHEN
Service is quick and friendly.,1,SHAAA KITCHEN
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,SHAAA KITCHEN
So absolutley fantastic.,1,SHAAA KITCHEN
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,SHAAA KITCHEN
definitely will come back here again.,1,SHAAA KITCHEN
I like Steiners because it's dark and it feels like a bar.,1,SHAAA KITCHEN
Wow very spicy but delicious.,1,SHAAA KITCHEN
"If you're not familiar, check it out.",1,SHAAA KITCHEN
I'll take my business dinner dollars elsewhere.,0,SHAAA KITCHEN
I'd love to go back.,1,SHAAA KITCHEN
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,SHAAA KITCHEN
Nothing special.,0,SHAAA KITCHEN
Each day of the week they have a different deal and it's all so delicious!,1,SHAAA KITCHEN
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,SHAAA KITCHEN
Will not be back.,0,SHAAA KITCHEN
Sauce was tasteless.,0,SHAAA KITCHEN
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,SHAAA KITCHEN
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,SHAAA KITCHEN
I don't think we'll be going back anytime soon.,0,SHAAA KITCHEN
Food was so gooodd.,1,SHAAA KITCHEN
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,SHAAA KITCHEN
I was so insulted.,0,SHAAA KITCHEN
The last 3 times I had lunch here has been bad.,0,SHAAA KITCHEN
The chicken wings contained the driest chicken meat I have ever eaten.,0,SHAAA KITCHEN
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,SHAAA KITCHEN
Nargile - I think you are great.,1,SHAAA KITCHEN
Best tater tots in the southwest.,1,SHAAA KITCHEN
We loved the place.,1,SHAAA KITCHEN
Definitely not worth the $3 I paid.,0,SHAAA KITCHEN
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,SHAAA KITCHEN
Im in AZ all the time and now have my new spot.,1,SHAAA KITCHEN
The manager was the worst.,0,SHAAA KITCHEN
The inside is really quite nice and very clean.,1,SHAAA KITCHEN
The food was outstanding and the prices were very reasonable.,1,SHAAA KITCHEN
I don't think I'll be running back to Carly's anytime soon for food.,0,SHAAA KITCHEN
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,SHAAA KITCHEN
"Love the margaritas, too!",1,SHAAA KITCHEN
This was my first and only Vegas buffet and it did not disappoint.,1,SHAAA KITCHEN
"Very good, though!",1,SHAAA KITCHEN
The one down note is the ventilation could use some upgrading.,0,SHAAA KITCHEN
Great pork sandwich.,1,SHAAA KITCHEN
Don't waste your time here.,0,SHAAA KITCHEN
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,SHAAA KITCHEN
"Third, the cheese on my friend's burger was cold.",0,SHAAA KITCHEN
We enjoy their pizza and brunch.,1,SHAAA KITCHEN
The steaks are all well trimmed and also perfectly cooked.,1,SHAAA KITCHEN
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,SHAAA KITCHEN
I LOVED it!,1,SHAAA KITCHEN
We asked for the bill to leave without eating and they didn't bring that either.,0,SHAAA KITCHEN
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,SHAAA KITCHEN
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,SHAAA KITCHEN
The selection of food was not the best.,0,SHAAA KITCHEN
Delicious and I will absolutely be back!,1,SHAAA KITCHEN
"This isn't a small family restaurant, this is a fine dining establishment.",1,SHAAA KITCHEN
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,SHAAA KITCHEN
I dont think I will be back for a very long time.,0,SHAAA KITCHEN
"It was attached to a gas station, and that is rarely a good sign.",0,SHAAA KITCHEN
How awesome is that.,1,SHAAA KITCHEN
I will be back many times soon.,1,SHAAA KITCHEN
The menu had so much good stuff on it i could not decide!,1,SHAAA KITCHEN
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,SHAAA KITCHEN
CONCLUSION: Very filling meals.,1,SHAAA KITCHEN
Their daily specials are always a hit with my group.,1,SHAAA KITCHEN
And then tragedy struck.,0,SHAAA KITCHEN
The pancake was also really good and pretty large at that.,1,SHAAA KITCHEN
"This was my first crawfish experience, and it was delicious!",1,SHAAA KITCHEN
Their monster chicken fried steak and eggs is my all time favorite.,1,SHAAA KITCHEN
Waitress was sweet and funny.,1,SHAAA KITCHEN
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,SHAAA KITCHEN
"I'd rather eat airline food, seriously.",0,SHAAA KITCHEN
Cant say enough good things about this place.,1,SHAAA KITCHEN
The ambiance was incredible.,1,SHAAA KITCHEN
The waitress and manager are so friendly.,1,SHAAA KITCHEN
I would not recommend this place.,0,SHAAA KITCHEN
Overall I wasn't very impressed with Noca.,0,SHAAA KITCHEN
My gyro was basically lettuce only.,0,SHAAA KITCHEN
Terrible service!,0,SHAAA KITCHEN
Thoroughly disappointed!,0,SHAAA KITCHEN
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,SHAAA KITCHEN
"Give it a try, you will be happy you did.",1,SHAAA KITCHEN
By far the BEST cheesecurds we have ever had!,1,SHAAA KITCHEN
Reasonably priced also!,1,SHAAA KITCHEN
Everything was perfect the night we were in.,1,SHAAA KITCHEN
The food is very good for your typical bar food.,1,SHAAA KITCHEN
it was a drive to get there.,0,SHAAA KITCHEN
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,SHAAA KITCHEN
"Anyway, I do not think i will go back there.",0,SHAAA KITCHEN
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,SHAAA KITCHEN
"Oh this is such a thing of beauty, this restaurant.",1,SHAAA KITCHEN
If you haven't gone here GO NOW!,1,SHAAA KITCHEN
"A greasy, unhealthy meal.",0,SHAAA KITCHEN
first time there and might just be the last.,0,SHAAA KITCHEN
Those burgers were amazing.,1,SHAAA KITCHEN
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,SHAAA KITCHEN
And it was way to expensive.,0,SHAAA KITCHEN
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,SHAAA KITCHEN
This was my first time and I can't wait until the next.,1,SHAAA KITCHEN
The bartender was also nice.,1,SHAAA KITCHEN
Everything was good and tasty!,1,SHAAA KITCHEN
This place is two thumbs up....way up.,1,SHAAA KITCHEN
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,SHAAA KITCHEN
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,SHAAA KITCHEN
Terrible management.,0,SHAAA KITCHEN
An excellent new restaurant by an experienced Frenchman.,1,SHAAA KITCHEN
If there were zero stars I would give it zero stars.,0,SHAAA KITCHEN
"Great steak, great sides, great wine, amazing desserts.",1,SHAAA KITCHEN
Worst martini ever!,0,SHAAA KITCHEN
The steak and the shrimp are in my opinion the best entrees at GC.,1,SHAAA KITCHEN
I had the opportunity today to sample your amazing pizzas!,1,SHAAA KITCHEN
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,SHAAA KITCHEN
The yellowtail carpaccio was melt in your mouth fresh.,1,NIRAA KITCHEN
I won't try going back there even if it's empty.,0,NIRAA KITCHEN
"No, I'm going to eat the potato that I found some strangers hair in it.",0,NIRAA KITCHEN
Just spicy enough.. Perfect actually.,1,NIRAA KITCHEN
Last night was my second time dining here and I was so happy I decided to go back!,1,NIRAA KITCHEN
"not even a ""hello, we will be right with you.""",0,NIRAA KITCHEN
The desserts were a bit strange.,0,NIRAA KITCHEN
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,NIRAA KITCHEN
"I really do recommend this place, you can go wrong with this donut place!",1,NIRAA KITCHEN
Nice ambiance.,1,NIRAA KITCHEN
I would recommend saving room for this!,1,NIRAA KITCHEN
I guess maybe we went on an off night but it was disgraceful.,0,NIRAA KITCHEN
"However, my recent experience at this particular location was not so good.",0,NIRAA KITCHEN
"I know this is not like the other restaurants at all, something is very off here!",0,NIRAA KITCHEN
AVOID THIS ESTABLISHMENT!,0,NIRAA KITCHEN
I think this restaurant suffers from not trying hard enough.,0,NIRAA KITCHEN
All of the tapas dishes were delicious!,1,NIRAA KITCHEN
I *heart* this place.,1,NIRAA KITCHEN
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,NIRAA KITCHEN
After two I felt disgusting.,0,NIRAA KITCHEN
A good time!,1,NIRAA KITCHEN
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,NIRAA KITCHEN
Generous portions and great taste.,1,NIRAA KITCHEN
I will never go back to this place and will never ever recommended this place to anyone!,0,NIRAA KITCHEN
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,NIRAA KITCHEN
Food was delicious!,1,NIRAA KITCHEN
AN HOUR... seriously?,0,NIRAA KITCHEN
I consider this theft.,0,NIRAA KITCHEN
Eew... This location needs a complete overhaul.,0,NIRAA KITCHEN
We recently witnessed her poor quality of management towards other guests as well.,0,NIRAA KITCHEN
Waited and waited and waited.,0,NIRAA KITCHEN
"He also came back to check on us regularly, excellent service.",1,NIRAA KITCHEN
Our server was super nice and checked on us many times.,1,NIRAA KITCHEN
"The pizza tasted old, super chewy in not a good way.",0,NIRAA KITCHEN
I swung in to give them a try but was deeply disappointed.,0,NIRAA KITCHEN
Service was good and the company was better!,1,NIRAA KITCHEN
The staff are also very friendly and efficient.,1,NIRAA KITCHEN
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,NIRAA KITCHEN
Boy was that sucker dry!!.,0,NIRAA KITCHEN
Over rated.,0,NIRAA KITCHEN
"If you look for authentic Thai food, go else where.",0,NIRAA KITCHEN
Their steaks are 100% recommended!,1,NIRAA KITCHEN
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,NIRAA KITCHEN
Great food and great service in a clean and friendly setting.,1,NIRAA KITCHEN
"All in all, I can assure you I'll be back.",1,NIRAA KITCHEN
I hate those things as much as cheap quality black olives.,0,NIRAA KITCHEN
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,NIRAA KITCHEN
The kids play area is NASTY!,0,NIRAA KITCHEN
Great place fo take out or eat in.,1,NIRAA KITCHEN
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,NIRAA KITCHEN
OMG I felt like I had never eaten Thai food until this dish.,1,NIRAA KITCHEN
"It was extremely ""crumby"" and pretty tasteless.",0,NIRAA KITCHEN
It was a pale color instead of nice and char and has NO flavor.,0,NIRAA KITCHEN
The croutons also taste homemade which is an extra plus.,1,NIRAA KITCHEN
I got home to see the driest damn wings ever!,0,NIRAA KITCHEN
It'll be a regular stop on my trips to Phoenix!,1,ARYA KITCHEN
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,ARYA KITCHEN
Not good for the money.,0,ARYA KITCHEN
I miss it and wish they had one in Philadelphia!,1,ARYA KITCHEN
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,ARYA KITCHEN
They also have the best cheese crisp in town.,1,ARYA KITCHEN
"Good value, great food, great service.",1,ARYA KITCHEN
Couldn't ask for a more satisfying meal.,1,ARYA KITCHEN
The food is good.,1,ARYA KITCHEN
It was awesome.,1,ARYA KITCHEN
I just wanted to leave.,0,ARYA KITCHEN
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,ARYA KITCHEN
I will not be eating there again.,0,ARYA KITCHEN
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,ARYA KITCHEN
I checked out this place a couple years ago and was not impressed.,0,ARYA KITCHEN
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,ARYA KITCHEN
"Sorry, I will not be getting food from here anytime soon :(",0,ARYA KITCHEN
An absolute must visit!,1,ARYA KITCHEN
The cow tongue and cheek tacos are amazing.,1,ARYA KITCHEN
My friend did not like his Bloody Mary.,0,ARYA KITCHEN
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,ARYA KITCHEN
They really want to make your experience a good one.,1,ARYA KITCHEN
I will not return.,0,ARYA KITCHEN
I had the chicken Pho and it tasted very bland.,0,ARYA KITCHEN
Very disappointing!!!,0,ARYA KITCHEN
The grilled chicken was so tender and yellow from the saffron seasoning.,1,ARYA KITCHEN
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,ARYA KITCHEN
Pretty awesome place.,1,ARYA KITCHEN
Ambience is perfect.,1,ARYA KITCHEN
Best of luck to the rude and non-customer service focused new management.,0,ARYA KITCHEN
Any grandmother can make a roasted chicken better than this one.,0,ARYA KITCHEN
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,ARYA KITCHEN
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,ARYA KITCHEN
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,ARYA KITCHEN
The roast beef sandwich tasted really good!,1,ARYA KITCHEN
"Same evening, him and I are both drastically sick.",0,ARYA KITCHEN
High-quality chicken on the chicken Caesar salad.,1,ARYA KITCHEN
Ordered burger rare came in we'll done.,0,ARYA KITCHEN
We were promptly greeted and seated.,1,ARYA KITCHEN
Tried to go here for lunch and it was a madhouse.,0,ARYA KITCHEN
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,ARYA KITCHEN
"After waiting an hour and being seated, I was not in the greatest of moods.",0,ARYA KITCHEN
This is a good joint.,1,ARYA KITCHEN
The Macarons here are insanely good.,1,ARYA KITCHEN
I'm not eating here!,0,ARYA KITCHEN
"Our waiter was very attentive, friendly, and informative.",1,ARYA KITCHEN
Maybe if they weren't cold they would have been somewhat edible.,0,ARYA KITCHEN
This place has a lot of promise but fails to deliver.,0,ARYA KITCHEN
Very bad Experience!,0,ARYA KITCHEN
What a mistake.,0,ARYA KITCHEN
Food was average at best.,0,ARYA KITCHEN
Great food.,1,ARYA KITCHEN
We won't be going back anytime soon!,0,ARYA KITCHEN
Very Very Disappointed ordered the $35 Big Bay Plater.,0,ARYA KITCHEN
Great place to relax and have an awesome burger and beer.,1,ARYA KITCHEN
It is PERFECT for a sit-down family meal or get together with a few friends.,1,ARYA KITCHEN
"Not much flavor to them, and very poorly constructed.",0,ARYA KITCHEN
The patio seating was very comfortable.,1,ARYA KITCHEN
The fried rice was dry as well.,0,ARYA KITCHEN
Hands down my favorite Italian restaurant!,1,ARYA KITCHEN
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,ARYA KITCHEN
It was just not a fun experience.,1,ARYA KITCHEN
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,ARYA KITCHEN
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,ARYA KITCHEN
"Very convenient, since we were staying at the MGM!",1,ARYA KITCHEN
The owners are super friendly and the staff is courteous.,1,ARYA KITCHEN
Both great!,1,ARYA KITCHEN
Eclectic selection.,1,ARYA KITCHEN
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,ARYA KITCHEN
The staff was very attentive.,1,ARYA KITCHEN
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,ARYA KITCHEN
"The owner used to work at Nobu, so this place is really similar for half the price.",1,ARYA KITCHEN
Google mediocre and I imagine Smashburger will pop up.,0,ARYA KITCHEN
dont go here.,0,ARYA KITCHEN
I promise they won't disappoint.,1,ARYA KITCHEN
As a sushi lover avoid this place by all means.,0,ARYA KITCHEN
What a great double cheeseburger!,1,ARYA KITCHEN
Awesome service and food.,1,ARYA KITCHEN
A fantastic neighborhood gem !!!,1,ARYA KITCHEN
I can't wait to go back.,1,ARYA KITCHEN
The plantains were the worst I've ever tasted.,0,ARYA KITCHEN
It's a great place and I highly recommend it.,1,ARYA KITCHEN
Service was slow and not attentive.,0,ARYA KITCHEN
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,ARYA KITCHEN
Your staff spends more time talking to themselves than me.,0,ARYA KITCHEN
Dessert: Panna Cotta was amazing.,1,ARYA KITCHEN
"Very good food, great atmosphere.1",1,ARYA KITCHEN
Damn good steak.,1,ARYA KITCHEN
Total brunch fail.,0,ARYA KITCHEN
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,ARYA KITCHEN
"The decor is nice, and the piano music soundtrack is pleasant.",1,ARYA KITCHEN
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,ARYA KITCHEN
"Good food , good service .",1,ARYA KITCHEN
It was absolutely amazing.,1,ARYA KITCHEN
"I probably won't be back, to be honest.",0,ARYA KITCHEN
will definitely be back!,1,ARYA KITCHEN
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,ARYA KITCHEN
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,ARYA KITCHEN
Went for lunch - service was slow.,0,NEHAALS KITCHEN
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,NEHAALS KITCHEN
I was mortified.,0,NEHAALS KITCHEN
"Needless to say, we will never be back here again.",0,NEHAALS KITCHEN
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,NEHAALS KITCHEN
"The chips that came out were dripping with grease, and mostly not edible.",0,NEHAALS KITCHEN
I wasn't really impressed with Strip Steak.,0,NEHAALS KITCHEN
Have been going since 2007 and every meal has been awesome!!,1,NEHAALS KITCHEN
Our server was very nice and attentive as were the other serving staff.,1,NEHAALS KITCHEN
The cashier was friendly and even brought the food out to me.,1,NEHAALS KITCHEN
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,NEHAALS KITCHEN
The atmosphere here is fun.,1,NEHAALS KITCHEN
Would not recommend to others.,0,NEHAALS KITCHEN
"Service is quick and even ""to go"" orders are just like we like it!",1,NEHAALS KITCHEN
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,NEHAALS KITCHEN
"That said, our mouths and bellies were still quite pleased.",1,NEHAALS KITCHEN
Not my thing.,0,NEHAALS KITCHEN
2 Thumbs Up!!,1,NEHAALS KITCHEN
If you are reading this please don't go there.,0,NEHAALS KITCHEN
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,NEHAALS KITCHEN
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,NEHAALS KITCHEN
They have a really nice atmosphere.,1,NEHAALS KITCHEN
Tonight I had the Elk Filet special...and it sucked.,0,NEHAALS KITCHEN
"After one bite, I was hooked.",1,NEHAALS KITCHEN
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,NEHAALS KITCHEN
"Cute, quaint, simple, honest.",1,NEHAALS KITCHEN
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,NEHAALS KITCHEN
"The food was great as always, compliments to the chef.",1,NEHAALS KITCHEN
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,NEHAALS KITCHEN
Awesome selection of beer.,1,NEHAALS KITCHEN
Great food and awesome service!,1,NEHAALS KITCHEN
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,NEHAALS KITCHEN
A FLY was in my apple juice.. A FLY!!!!!!!!,0,NEHAALS KITCHEN
The Han Nan Chicken was also very tasty.,1,NEHAALS KITCHEN
"As for the service, I thought it was good.",1,NEHAALS KITCHEN
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,NEHAALS KITCHEN
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,NEHAALS KITCHEN
Nicest Chinese restaurant I've been in a while.,1,NEHAALS KITCHEN
"Overall, I like there food and the service.",1,NEHAALS KITCHEN
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,NEHAALS KITCHEN
"Probably never coming back, and wouldn't recommend it.",0,NEHAALS KITCHEN
"Friend's pasta -- also bad, he barely touched it.",0,NEHAALS KITCHEN
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,NEHAALS KITCHEN
I love the decor with the Chinese calligraphy wall paper.,1,NEHAALS KITCHEN
Never had anything to complain about here.,1,NEHAALS KITCHEN
The restaurant is very clean and has a family restaurant feel to it.,1,NEHAALS KITCHEN
It was way over fried.,0,NEHAALS KITCHEN
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,NEHAALS KITCHEN
"When I opened the sandwich, I was impressed, but not in a good way.",0,NEHAALS KITCHEN
Will not be back!,0,NEHAALS KITCHEN
There was a warm feeling with the service and I felt like their guest for a special treat.,1,NEHAALS KITCHEN
An extensive menu provides lots of options for breakfast.,1,NEHAALS KITCHEN
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,NEHAALS KITCHEN
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,NEHAALS KITCHEN
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,NEHAALS KITCHEN
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,NEHAALS KITCHEN
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,NEHAALS KITCHEN
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,NEHAALS KITCHEN
We were sat right on time and our server from the get go was FANTASTIC!,1,NEHAALS KITCHEN
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,NEHAALS KITCHEN
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,NEHAALS KITCHEN
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,NEHAALS KITCHEN
This is a GREAT place to eat!,1,NEHAALS KITCHEN
The jalapeno bacon is soooo good.,1,NEHAALS KITCHEN
The service was poor and thats being nice.,0,NEHAALS KITCHEN
"Food was good, service was good, Prices were good.",1,NEHAALS KITCHEN
The place was not clean and the food oh so stale!,0,NEHAALS KITCHEN
"The chicken dishes are OK, the beef is like shoe leather.",0,NEHAALS KITCHEN
But the service was beyond bad.,0,NEHAALS KITCHEN
"I'm so happy to be here!!!""",1,NEHAALS KITCHEN
Tasted like dirt.,0,NEHAALS KITCHEN
One of the few places in Phoenix that I would definately go back to again .,1,NEHAALS KITCHEN
The block was amazing.,1,NEHAALS KITCHEN
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,NEHAALS KITCHEN
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,NEHAALS KITCHEN
My sashimi was poor quality being soggy and tasteless.,0,NEHAALS KITCHEN
Great time - family dinner on a Sunday night.,1,NEHAALS KITCHEN
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,NEHAALS KITCHEN
"What did bother me, was the slow service.",0,NEHAALS KITCHEN
The flair bartenders are absolutely amazing!,1,NEHAALS KITCHEN
Their frozen margaritas are WAY too sugary for my taste.,0,NEHAALS KITCHEN
These were so good we ordered them twice.,1,NEHAALS KITCHEN
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,NEHAALS KITCHEN
My girlfriend's veal was very bad.,0,ARC KITCHEN
"Unfortunately, it was not good.",0,ARC KITCHEN
I had a pretty satifying experience.,1,ARC KITCHEN
Join the club and get awesome offers via email.,1,ARC KITCHEN
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,ARC KITCHEN
Bland and flavorless is a good way of describing the barely tepid meat.,0,ARC KITCHEN
"The chains, which I'm no fan of, beat this place easily.",0,ARC KITCHEN
The nachos are a MUST HAVE!,1,ARC KITCHEN
We will not be coming back.,0,ARC KITCHEN
"I don't have very many words to say about this place, but it does everything pretty well.",1,ARC KITCHEN
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,ARC KITCHEN
"Great atmosphere, friendly and fast service.",1,ARC KITCHEN
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,ARC KITCHEN
Once your food arrives it's meh.,0,ARC KITCHEN
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,ARC KITCHEN
The classic Maine Lobster Roll was fantastic.,1,ARC KITCHEN
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,ARC KITCHEN
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,ARC KITCHEN
"The chips and salsa were really good, the salsa was very fresh.",1,ARC KITCHEN
This place is great!!!!!!!!!!!!!!,1,ARC KITCHEN
Mediocre food.,0,ARC KITCHEN
Once you get inside you'll be impressed with the place.,1,ARC KITCHEN
I'm super pissd.,0,ARC KITCHEN
And service was super friendly.,1,ARC KITCHEN
Why are these sad little vegetables so overcooked?,0,ARC KITCHEN
This place was such a nice surprise!,1,ARC KITCHEN
They were golden-crispy and delicious.,1,ARC KITCHEN
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,ARC KITCHEN
I could eat their bruschetta all day it is devine.,1,ARC KITCHEN
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,ARC KITCHEN
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,ARC KITCHEN
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,ARC KITCHEN
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,ARC KITCHEN
The service was terrible though.,0,ARC KITCHEN
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,ARC KITCHEN
It was packed!!,0,ARC KITCHEN
I love this place.,1,ARC KITCHEN
I can say that the desserts were yummy.,1,ARC KITCHEN
